Référence,Version,Prédéterminé,Type,EAN13,Famille,Catalogue,"Tarif national",Garantie,"Étiquette V/F","Fiche technique",Description,masterfile.tender_text,masterfile.codi_duaner,Matériel,Fini,grand,Largeur,Hauteur,Projection,"Source de lumière","Inclure une ampoule","Efficacité énergétique","Unités masterbox","Produit déclassé","Lancement de produit","Poids emballé (kg)","Weight master box","Poids net (kg)","Unité de volume (m3)","Volume Master box (m3)","Length Box 1","Largeur de la boîte 1","Boîte de hauteur 1","Length Box 2","Largeur de la boîte 2","Boîte de hauteur 2","Length Box 3","Largeur de la boîte 3","Boîte de hauteur 3","Length MB 1","Largeur MB 1","Hauteur MB 1","Length MB 2","Largeur MB 2","Hauteur MB 2","Length MB 3","Largeur MB 3","Hauteur MB 3","Watts (W)","Lumens (lm)","Real Lumens (lm)","Température de couleur LED (K)",CRI,"Faisceau de lumière (°)","Réglementation de type",IP,IK,"Image Web","Image d'environnement 1","Image d'environnement 2","Image d'environnement 3","Image de détail 1","Image de détail 2",IMC,EE,Photométrie,masterfile.ploma_comercial,Accessoires,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Código RETILAP","Maroc Code","Pays Code 4","Pays Code 5","Pays Code 6",Modèle
91-6608-00-00,V0,Oui,"Bandeaux à LED",8435526801121,"Asai Side Bend 8000mm",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/fr/91-6608-00-00.html,"BANDEAUX À LED ASAI SIDE BEND 8000MM 115.2W 3000K CRI 80 IP67 3529LM","LedsC4 Asai Side Bend 8000mm 91-6608-00-00  Bandeaux à LED à usage intérieur et extérieur pour éclairer vers le bas.   Effet néon. Diffuseur à homogénéité élevée sans ombres ni points marqués. Raccord continu invisible. Matière de la structure: Polyuréthane. Finition diffuseur: Blanc. Garantie: 3 Ans.  Poids net du produit (kg): 2.16 Longueur du produit (mm): 8000 Largeur ou diamètre du produit (mm): 16 Hauteur du produit (mm): 17  Classe 3. Essai au fil incandescent: 850. IP: IP67. IK: IK10. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 115.2W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 20.0. Risque photobiologique: RG0. Flux réel (lm): 3529. Lm/W réels: 31. Tension: 3. Appareillage fourni: Non, mais il est nécessaire. Puissance totale: 115.2.",9405423100,Polyuréthane,Blanc,8000,16,17,,,Oui,E,10,"Descatalogado FR",2019,"2,6",26,"2,16","0,013","0,13",530,40,530,,,,,,,,,,,,,,,,"115,2",,3529,3000K,80,HORIZONTAL,,IP67,IK10,https://files.ledsc4.com/main-photo/91-6608-00-00,https://files.ledsc4.com/ambience-photo/1/91-6608-00-00,https://files.ledsc4.com/ambience-photo/2/91-6608-00-00,,https://files.ledsc4.com/detail-photo/1/91-6608-00-00,https://files.ledsc4.com/detail-photo/2/91-6608-00-00,https://files.ledsc4.com/imc/91-6608-00-00.html,https://files.ledsc4.com/el/91-6608-00-00.html,https://files.ledsc4.com/fm/91-6608-00-00.html,https://files.ledsc4.com/pl/91-6608-00-00.html,https://files.ledsc4.com/ft3/fr/91-6608-00-00.html,https://files.ledsc4.com/3d/91-6608-00-00.html,https://files.ledsc4.com/ies/91-6608-00-00.html,https://files.ledsc4.com/ldt/91-6608-00-00.html,,RETILAP-DECORATIVE,"LED STRIP-III",,,,"Asai Side Bend 8000mm"
91-6610-00-00,V0,Oui,"Bandeaux à LED",8435526801145,"Asai Top Bend 8000mm",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/fr/91-6610-00-00.html,"BANDEAUX À LED ASAI TOP BEND 8000MM 115.2W 3000K CRI 80 IP67 3529LM","LedsC4 Asai Top Bend 8000mm 91-6610-00-00  Bandeaux à LED à usage intérieur et extérieur pour éclairer vers le bas.   Effet néon. Diffuseur à homogénéité élevée sans ombres ni points marqués. Raccord continu invisible. Matière de la structure: Polyuréthane. Finition diffuseur: Blanc. Garantie: 3 Ans.  Poids net du produit (kg): 2.59 Longueur du produit (mm): 8000 Largeur ou diamètre du produit (mm): 16 Hauteur du produit (mm): 17  Classe 3. Essai au fil incandescent: 850. IP: IP67. IK: IK10. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 115.2W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 20.0. Risque photobiologique: RG0. Flux réel (lm): 3529. Lm/W réels: 31. Tension: 3. Appareillage fourni: Non, mais il est nécessaire. Puissance totale: 115.2.",9405423100,Polyuréthane,Blanc,8000,16,17,,,Oui,E,10,"Descatalogado FR",2019,3,30,"2,59","0,013","0,13",540,40,540,,,,,,,,,,,,,,,,"115,2",,3529,3000K,80,HORIZONTAL,,IP67,IK10,https://files.ledsc4.com/main-photo/91-6610-00-00,https://files.ledsc4.com/ambience-photo/1/91-6610-00-00,,,https://files.ledsc4.com/detail-photo/1/91-6610-00-00,https://files.ledsc4.com/detail-photo/2/91-6610-00-00,https://files.ledsc4.com/imc/91-6610-00-00.html,https://files.ledsc4.com/el/91-6610-00-00.html,https://files.ledsc4.com/fm/91-6610-00-00.html,https://files.ledsc4.com/pl/91-6610-00-00.html,https://files.ledsc4.com/ft3/fr/91-6610-00-00.html,https://files.ledsc4.com/3d/91-6610-00-00.html,https://files.ledsc4.com/ies/91-6610-00-00.html,https://files.ledsc4.com/ldt/91-6610-00-00.html,,RETILAP-DECORATIVE,"LED STRIP-III",,,,"Asai Top Bend 8000mm"
55-E034-54-CL,V0,Oui,"Système d'éclairage linéair",8435526870011,Path,Outdoor,,2,24VDC,https://files.ledsc4.com/ft2/fr/55-E034-54-CL.html,"SYSTÈME D'ÉCLAIRAGE LINÉAIR IP66-IP67 PATH LED 9.6W 3000K ALUMINIUM ANODISÉ ","LedsC4 Path 55-E034-54-CL  Système d&#039;éclairage linéair à usage extérieur pour éclairer vers le bas.   Comprend des connecteurs rapides et 3 plaques pour garantir et faciliter un raccord parfait entre les luminaires en chaîne. Comprend 2 sorties de câble pour faciliter l&#039;installation en chaîne. Mètres de câble fournis: 0.15. Matière de la structure: Aluminium. Finition structure: Aluminium anodisé. Matière du diffuseur: PMMA. Finition diffuseur: Opale. Protection contre les rayons ultraviolets. Garantie: 2 Ans. Ta max: 50ºC.  Poids net du produit (kg): 2.08 Longueur du produit (mm): 1004 Largeur ou diamètre du produit (mm): 61 Hauteur du produit (mm): 68  Classe 3. IP: IP66-IP67. IK: IK10. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 9.6W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 19.6. Risque photobiologique: RG0. Flux réel (lm): 184. Lm/W réels: 19. Tension: 3. Appareillage fourni: Non, mais il est nécessaire. Puissance totale: 9.6.",9405423990,"Aluminium, PMMA","Aluminium anodisé, Opale",1004,61,68,,,Oui,E,6,"Descatalogado FR",2019,"2,7","16,2","2,08","0,008","0,048",1026,80,80,,,,,,,,,,,,,,,,"9,6",,184,3000K,80,"Check Photometric file",,IP66-IP67,IK10,https://files.ledsc4.com/main-photo/55-E034-54-CL,https://files.ledsc4.com/ambience-photo/1/55-E034-54-CL,,,,,https://files.ledsc4.com/imc/55-E034-54-CL.html,https://files.ledsc4.com/el/55-E034-54-CL.html,https://files.ledsc4.com/fm/55-E034-54-CL.html,https://files.ledsc4.com/pl/55-E034-54-CL.html,https://files.ledsc4.com/ft3/fr/55-E034-54-CL.html,https://files.ledsc4.com/3d/55-E034-54-CL.html,https://files.ledsc4.com/ies/55-E034-54-CL.html,https://files.ledsc4.com/ldt/55-E034-54-CL.html,,RETILAP-APLIQUE,DW-LED-III,,,,
AF29-13V8F2BB60,V0,Oui,"Applique de plafond",8435526848782,"MULTIDIR EVO S ",Architectural,,3,"max. 350mA",https://files.ledsc4.com/ft2/fr/AF29-13V8F2BB60.html,"APPLIQUE DE PLAFOND MULTIDIR EVO S  3000K CRI 80 NOIR IP20 3759LM","LedsC4 MULTIDIR EVO S  AF29-13V8F2BB60  Applique de plafond à usage intérieur pour éclairer vers le bas.  Source lumineuse orientable. Matière de la structure: Aluminium. Finition structure: Noir. Matière du diffuseur: Polycarbonate. Finition diffuseur: Transparent. Garantie: 3 Ans.  Poids net du produit (kg): 3.64 Longueur du produit (mm): 320 Largeur ou diamètre du produit (mm): 120 Hauteur du produit (mm): 183  Classe 3. Essai au fil incandescent: 850. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Puissance maximale de la source lumineuse: 39W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 2. Durée de vie en heures: 50.000h L70B30. Risque photobiologique: RG1. Flux réel (lm): 3759. Flux nominal (lm): 3975. Lm/W réels: 96. Tension: 36. Appareillage fourni: Non, mais il est nécessaire.",9405119090,"Aluminium, Polycarbonate","Noir, Transparent",320,120,183,,"1xLED 39 3975.00 lm",Oui,,50,"Descatalogado FR",2017,"4,13","29,19","3,67","0,015","0,204",50,30,50,75,75,100,330,130,185,400,400,215,400,400,215,400,400,215,,"3975,00",3759,3000K,80,,,IP20,,https://files.ledsc4.com/main-photo/AF29-13V8F2BB60,,,,,,https://files.ledsc4.com/imc/AF29-13V8F2BB60.html,,,https://files.ledsc4.com/pl/AF29-13V8F2BB60.html,https://files.ledsc4.com/ft3/fr/AF29-13V8F2BB60.html,https://files.ledsc4.com/3d/AF29-13V8F2BB60.html,,,,RETILAP-DECORATIVE,DW-LED-III,,,,
05-E051-Z5-CL,V0,Oui,"Encastrés de mur",8435526867493,"Micenas LED Pro",Outdoor,,2,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-E051-Z5-CL.html,"ENCASTRÉS DE MUR IP66 MICENAS LED PRO LED 10.4W 3000K ON-OFF GRIS URBAIN 731LM","LedsC4 Micenas LED Pro 05-E051-Z5-CL  Encastrés de mur à usage extérieur pour éclairer frontalement   Boîtier d&#039;encastrement fourni. Comprend 2 sorties de câble pour faciliter l&#039;installation en chaîne. Matière de la structure: Aluminium. Finition structure: Gris urbain. Matière du diffuseur: Verre. Finition diffuseur: Mat. Protection contre les rayons ultraviolets. Garantie: 2 Ans.  Poids net du produit (kg): 0.97 Largeur ou diamètre du produit (mm): 298 Hauteur du produit (mm): 85 Sortie du produit (mm): 76  Classe 1. Essai au fil incandescent: 850. IP: IP66. IK: IK04. LED. Nombre de douilles ou LED: 1. Marque de la LED: SAMSUNG. Marque du Driver: HEP. Puissance maximale de la source lumineuse: 8.7W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 21.5. Risque photobiologique: RG1. Flux réel (lm): 731. Lm/W réels: 70. Plage de tension/fréquence: 100-277/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 10.4. Facteur de puissance: 0.90. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Verre","Gris urbain, Mat",,298,85,76,,Oui,E,12,"Descatalogado FR",2019,"1,23","14,76","0,97","0,004","0,048",310,95,100,,,,,,,,,,,,,,,,"10,4",,731,3000K,80,HORIZONTAL,ON-OFF,IP66,IK04,https://files.ledsc4.com/main-photo/05-E051-Z5-CL,,,,,,https://files.ledsc4.com/imc/05-E051-Z5-CL.html,https://files.ledsc4.com/el/05-E051-Z5-CL.html,https://files.ledsc4.com/fm/05-E051-Z5-CL.html,https://files.ledsc4.com/pl/05-E051-Z5-CL.html,https://files.ledsc4.com/ft3/fr/05-E051-Z5-CL.html,https://files.ledsc4.com/3d/05-E051-Z5-CL.html,https://files.ledsc4.com/ies/05-E051-Z5-CL.html,https://files.ledsc4.com/ldt/05-E051-Z5-CL.html,,RETILAP-APLIQUE,FX-LED-I,,,,"Micenas Symmetrical"
60-E058-Z5-00,V0,Oui,Component,8435526873852,"Modular Spotlight Box 450mm",Outdoor,,3,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/60-E058-Z5-00.html,"PROJECTEUR ET SPOT IP65 MODULAR BOX ACTIVE LED 167.7W 0-10V GRIS URBAIN","LedsC4 Modular Spotlight Box 450mm 60-E058-Z5-00  Component à usage extérieur pour éclairer vers le bas.  Comprend 2 sorties de câble pour faciliter l&#039;installation en chaîne. Source lumineuse orientable. Matière de la structure: Aluminium, Acier inoxydable AISI 304. Finition structure: Gris urbain. Protection contre les rayons ultraviolets. Garantie: 3 Ans. Ta max: 50ºC.  Poids net du produit (kg): 8 Longueur du produit (mm): 435 Largeur ou diamètre du produit (mm): 366 Hauteur du produit (mm): 167  Classe 1. IP: IP65. Appareillage fourni: Oui. Puissance totale: 167.7. Facteur de puissance: 0.90.",9405421000,"Aluminium, Acier inoxydable AISI 304","Gris urbain",435,366,167,,,Oui,"NA EPREL",1,"Descatalogado FR",2019,"8,8","8,8",8,"0,038","0,038",460,390,210,,,,,,,,,,,,,,,,"167,7",,,,,,0-10V,IP65,,https://files.ledsc4.com/main-photo/60-E058-Z5-00,,,,,,https://files.ledsc4.com/imc/60-E058-Z5-00.html,,,https://files.ledsc4.com/pl/60-E058-Z5-00.html,https://files.ledsc4.com/ft3/fr/60-E058-Z5-00.html,,,,,,NA-Accessory,,,,"Modular Box Active"
60-E059-Z5-00,V0,Oui,Component,8435526873869,"Modular Spotlight Box 720mm",Outdoor,,3,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/60-E059-Z5-00.html,"PROJECTEUR ET SPOT IP65 MODULAR BOX ACTIVE LED 335.4W 0-10V GRIS URBAIN","LedsC4 Modular Spotlight Box 720mm 60-E059-Z5-00  Component à usage extérieur pour éclairer vers le bas.  Comprend 2 sorties de câble pour faciliter l&#039;installation en chaîne. Source lumineuse orientable. Matière de la structure: Aluminium, Acier inoxydable AISI 304. Finition structure: Gris urbain. Protection contre les rayons ultraviolets. Garantie: 3 Ans. Ta max: 50ºC.  Poids net du produit (kg): 12 Longueur du produit (mm): 705 Largeur ou diamètre du produit (mm): 366 Hauteur du produit (mm): 167  Classe 1. IP: IP65. Appareillage fourni: Oui. Puissance totale: 335.4. Facteur de puissance: 0.90.",9405421000,"Aluminium, Acier inoxydable AISI 304","Gris urbain",705,366,167,,,Oui,"NA EPREL",1,"Descatalogado FR",2019,"13,12","13,12",12,"0,056","0,056",695,385,210,,,,,,,,,,,,,,,,"335,4",,,,,,0-10V,IP65,,https://files.ledsc4.com/main-photo/60-E059-Z5-00,,,,,,https://files.ledsc4.com/imc/60-E059-Z5-00.html,,,https://files.ledsc4.com/pl/60-E059-Z5-00.html,https://files.ledsc4.com/ft3/fr/60-E059-Z5-00.html,,,,,,NA-Accessory,,,,"Modular Box Active"
05-7564-14-M1,V0,Oui,"Applique murale",8435575304413,"Ely Recessed",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-7564-14-M1.html,"APPLIQUE MURALE ELY RECESSED LED 9.8W 3000K ON-OFF BLANC 485LM","LedsC4 Ely Recessed 05-7564-14-M1  Applique murale à usage intérieur pour éclairer vers le haut et vers le bas  Le module optique peut facilement tourner 360º. Matière de la structure: Aluminium, Acier. Finition structure: Blanc. Matière du diffuseur: Plastique. Finition diffuseur: Blanc. Garantie: 2 Ans.  Poids net du produit (kg): 1.35 Longueur du produit (mm): 210 Largeur ou diamètre du produit (mm): 122 Hauteur du produit (mm): 83 Sortie du produit (mm): 42 Ø de l&#039;orifice pour l&#039;encastrement (mm): 210x120 Épaisseur de plafond admise: 3-25  Classe 2. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: SAMSUNG. Marque du Driver: HEP. Puissance maximale de la source lumineuse: 8.4W. Température de couleur: 3000K. Indice de rendu des couleurs: 92. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  21.8. Risque photobiologique: RG1. Flux réel (lm): 485. Flux nominal (lm): 1125. Lm/W réels: 49. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 9.8. Facteur de puissance: 0.40. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Acier, Plastique","Blanc, Blanc",210,122,83,42,"1xLED 8.4 1125 lm",Oui,D,4,"Descatalogado FR",2019,"1,89","7,56","1,35","0,008","0,032",280,190,125,,,,,,,,,,,,,,,,"9,8",1125,485,3000K,92,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-7564-14-M1,https://files.ledsc4.com/ambience-photo/1/05-7564-14-M1,https://files.ledsc4.com/ambience-photo/2/05-7564-14-M1,,https://files.ledsc4.com/detail-photo/1/05-7564-14-M1,,https://files.ledsc4.com/imc/05-7564-14-M1.html,https://files.ledsc4.com/el/05-7564-14-M1.html,https://files.ledsc4.com/fm/05-7564-14-M1.html,https://files.ledsc4.com/pl/05-7564-14-M1.html,https://files.ledsc4.com/ft3/fr/05-7564-14-M1.html,https://files.ledsc4.com/3d/05-7564-14-M1.html,https://files.ledsc4.com/ies/05-7564-14-M1.html,https://files.ledsc4.com/ldt/05-7564-14-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Ely Recessed"
TC-0460-GRI,V0,Oui,"Encastrables au plafond",8435526864737,"Easy Round Ø120mm",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/TC-0460-GRI.html,"ENCASTRABLES AU PLAFOND EASY ROUND Ø120MM LED 5.6W 6000K ON-OFF GRIS IN IP20 / ","LedsC4 Easy Round Ø120mm TC-0460-GRI  Encastrables au plafond à usage intérieur pour éclairer vers le bas.   Design ultrafin. Distribution homogène du flux lumineux. Matière de la structure: Aluminium. Finition structure: Gris. Matière du diffuseur: Acrylique. Finition diffuseur: Opale. Garantie: 5 Ans.  Poids net du produit (kg): 0.17 Largeur ou diamètre du produit (mm): 120 Hauteur du produit (mm): 23 Ø de l&#039;orifice pour l&#039;encastrement (mm): 106 Épaisseur de plafond admise: 0-12  Classe 2. Luminaire non adapté pour être recouvert de matériaux isolants. Essai au fil incandescent: 650. IP: IN IP20 / OUT IP54. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 4.6W. Température de couleur: 6000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 5. Durée de vie en heures: 36.000h L70B30. Facteur UGR: 23.5. Risque photobiologique: RG1. Flux réel (lm): 398. Flux nominal (lm): 580. Lm/W réels: 71. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 5.6. Facteur de puissance: 0.40. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Acrylique","Gris, Opale",,120,23,,"1xLED 4.6 580.00 lm",Oui,E,40,"Inactivo FR",2019,"0,22","8,8","0,17","0,001","0,04",150,45,125,,,,,,,480,320,270,480,320,270,,,,"5,6","580,00",398,6000K,80,,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/TC-0460-GRI,https://files.ledsc4.com/ambience-photo/1/TC-0460-GRI,,,https://files.ledsc4.com/detail-photo/1/TC-0460-GRI,https://files.ledsc4.com/detail-photo/2/TC-0460-GRI,https://files.ledsc4.com/imc/TC-0460-GRI.html,https://files.ledsc4.com/el/TC-0460-GRI.html,,https://files.ledsc4.com/pl/TC-0460-GRI.html,,,,,,RETILAP-DECORATIVE,DW-LED-II,,,,
TC-0461-BLA,V0,Oui,"Encastrables au plafond",8435526864744,"Easy Square 120mm",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/TC-0461-BLA.html,"ENCASTRABLES AU PLAFOND EASY SQUARE 120MM LED 5.6W 6000K ON-OFF BLANC IN IP20 / ","LedsC4 Easy Square 120mm TC-0461-BLA  Encastrables au plafond à usage intérieur pour éclairer vers le bas.   Design ultrafin. Distribution homogène du flux lumineux. Matière de la structure: Aluminium. Finition structure: Blanc. Matière du diffuseur: Acrylique. Finition diffuseur: Opale. Garantie: 5 Ans.  Poids net du produit (kg): 0.19 Longueur du produit (mm): 120 Largeur ou diamètre du produit (mm): 120 Hauteur du produit (mm): 23 Ø de l&#039;orifice pour l&#039;encastrement (mm): 107x107 Épaisseur de plafond admise: 0-12  Classe 2. Luminaire non adapté pour être recouvert de matériaux isolants. Essai au fil incandescent: 650. IP: IN IP20 / OUT IP54. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 4.6W. Température de couleur: 6000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 5. Durée de vie en heures: 36.000h L70B30. Facteur UGR: 23.5. Risque photobiologique: RG1. Flux réel (lm): 398. Flux nominal (lm): 580. Lm/W réels: 71. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 5.6. Facteur de puissance: 0.40. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Acrylique","Blanc, Opale",120,120,23,,"1xLED 4.6 580.00 lm",Oui,E,40,"Inactivo FR",2019,"0,25",10,"0,19","0,001","0,04",150,45,125,,,,,,,480,320,270,480,320,270,,,,"5,6","580,00",398,6000K,80,,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/TC-0461-BLA,,,,,,https://files.ledsc4.com/imc/TC-0461-BLA.html,https://files.ledsc4.com/el/TC-0461-BLA.html,,https://files.ledsc4.com/pl/TC-0461-BLA.html,,,,,,RETILAP-DOWNLIGHT,DW-LED-II,,,,
TC-0461-GRI,V0,Oui,"Encastrables au plafond",8435526864751,"Easy Square 120mm",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/TC-0461-GRI.html,"ENCASTRABLES AU PLAFOND EASY SQUARE 120MM LED 5.6W 6000K ON-OFF GRIS IN IP20 / O","LedsC4 Easy Square 120mm TC-0461-GRI  Encastrables au plafond à usage intérieur pour éclairer vers le bas.   Design ultrafin. Distribution homogène du flux lumineux. Matière de la structure: Aluminium. Finition structure: Gris. Matière du diffuseur: Acrylique. Finition diffuseur: Opale. Garantie: 5 Ans.  Poids net du produit (kg): 0.19 Longueur du produit (mm): 120 Largeur ou diamètre du produit (mm): 120 Hauteur du produit (mm): 23 Ø de l&#039;orifice pour l&#039;encastrement (mm): 107x107 Épaisseur de plafond admise: 0-12  Classe 2. Luminaire non adapté pour être recouvert de matériaux isolants. Essai au fil incandescent: 650. IP: IN IP20 / OUT IP54. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 4.6W. Température de couleur: 6000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 5. Durée de vie en heures: 36.000h L70B30. Facteur UGR: 23.5. Risque photobiologique: RG1. Flux réel (lm): 398. Flux nominal (lm): 580. Lm/W réels: 71. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 5.6. Facteur de puissance: 0.40. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Acrylique","Gris, Opale",120,120,23,,"1xLED 4.6 580.00 lm",Oui,E,40,"Inactivo FR",2019,"0,25",10,"0,19","0,001","0,04",150,45,125,,,,,,,480,320,270,480,320,270,,,,"5,6","580,00",398,6000K,80,,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/TC-0461-GRI,,,,,,https://files.ledsc4.com/imc/TC-0461-GRI.html,https://files.ledsc4.com/el/TC-0461-GRI.html,,https://files.ledsc4.com/pl/TC-0461-GRI.html,,,,,,RETILAP-DOWNLIGHT,DW-LED-II,,,,
00-7341-60-00,V0,Oui,"Basse tension",8435526867028,Vela,Architectural,,2,"48 VDC",https://files.ledsc4.com/ft2/fr/00-7341-60-00.html,"BASSE TENSION VELA 3.1W 2700K CRI 92 ON-OFF NOIR 269LM","LedsC4 Vela 00-7341-60-00  Basse tension à usage intérieur pour éclairer vers le bas.  Source lumineuse orientable. Matière de la structure: Aluminium. Finition structure: Noir. Garantie: 2 Ans.  Poids net du produit (kg): 0.16 Longueur du produit (mm): 167 Largeur ou diamètre du produit (mm): 30 Hauteur du produit (mm): Min.195 - Max 1650  Classe 3. Essai au fil incandescent: 850. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Puissance maximale de la source lumineuse: 3.1W. Température de couleur: 2700K. Indice de rendu des couleurs: 92. Steps Mac Adam: 2. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 14.0. Risque photobiologique: RG1. Flux réel (lm): 269. Lm/W réels: 87. Plage de tension/fréquence: 48. Tension: 9. Appareillage fourni: Non, mais il est nécessaire. Puissance totale: 3.1. Appareillage réglable fourni: ON-OFF.",9405119090,Aluminium,"Noir, Blanc",167,30,"Min.195 - Max 1650",,,Oui,E,50,"Descatalogado FR",2019,"0,21","10,5","0,16","0,001","0,05",190,70,45,,,,,,,,,,,,,,,,"3,1",,269,2700K,92,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/00-7341-60-00,,,,,,https://files.ledsc4.com/imc/00-7341-60-00.html,https://files.ledsc4.com/el/00-7341-60-00.html,https://files.ledsc4.com/fm/00-7341-60-00.html,https://files.ledsc4.com/pl/00-7341-60-00.html,,https://files.ledsc4.com/3d/00-7341-60-00.html,https://files.ledsc4.com/ies/00-7341-60-00.html,https://files.ledsc4.com/ldt/00-7341-60-00.html,,RETILAP-TRACK,FX-LED-II,,,,
00-7342-60-00,V0,Oui,"Basse tension",8435526867042,Vela,Architectural,,2,"48 VDC",https://files.ledsc4.com/ft2/fr/00-7342-60-00.html,"BASSE TENSION VELA 3.1W 3000K CRI 92 ON-OFF NOIR 269LM","LedsC4 Vela 00-7342-60-00  Basse tension à usage intérieur pour éclairer vers le bas.  Source lumineuse orientable. Matière de la structure: Aluminium. Finition structure: Noir. Garantie: 2 Ans.  Poids net du produit (kg): 0.16 Longueur du produit (mm): 167 Largeur ou diamètre du produit (mm): 30 Hauteur du produit (mm): Min 195 - Max 1650  Classe 3. Essai au fil incandescent: 850. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Puissance maximale de la source lumineuse: 3.1W. Température de couleur: 3000K. Indice de rendu des couleurs: 92. Steps Mac Adam: 2. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 14.0. Risque photobiologique: RG1. Flux réel (lm): 269. Lm/W réels: 87. Plage de tension/fréquence: 48. Tension: 9. Appareillage fourni: Non, mais il est nécessaire. Puissance totale: 3.1. Appareillage réglable fourni: ON-OFF.",9405119090,Aluminium,"Noir, Blanc",167,30,"Min 195 - Max 1650",,,Oui,E,50,"Descatalogado FR",2019,"0,21","10,5","0,16","0,001","0,05",190,70,45,,,,,,,,,,,,,,,,"3,1",,269,3000K,92,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/00-7342-60-00,,,,,,https://files.ledsc4.com/imc/00-7342-60-00.html,https://files.ledsc4.com/el/00-7342-60-00.html,https://files.ledsc4.com/fm/00-7342-60-00.html,https://files.ledsc4.com/pl/00-7342-60-00.html,,https://files.ledsc4.com/3d/00-7342-60-00.html,https://files.ledsc4.com/ies/00-7342-60-00.html,https://files.ledsc4.com/ldt/00-7342-60-00.html,,RETILAP-TRACK,FX-LED-II,,,,
