Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
55-E034-54-CM,V0,Sì,"Sistemi lineari d'illuminazione",8435575397576,Path,Outdoor,,2,24VDC,https://files.ledsc4.com/ft2/it/55-E034-54-CM.html,"SISTEMI LINEARI D'ILLUMINAZIONE IP66-IP67 PATH LED 9.6W 4000K ALLUMINIO ANODIZZA","LedsC4 Path 55-E034-54-CM  Sistemi lineari d&#039;illuminazione per uso esterno per illuminare verso il basso.  Include 2 uscite per cavi per una facile installazione in catena. Metri del cavo incluso: 0.15. Materiale della struttura: Alluminio. Finitura struttura: Alluminio anodizzato. Materiale del diffusore: PMMA. Finitura diffusore: Opal. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni. Temperatura max: 50ºC.  Peso netto del prodotto (Kg): 2.08 Lunghezza del prodotto (mm): 1004 Larghezza o diametro del prodotto (mm): 61 Altezza del prodotto (mm): 68  Classe 3. IP: IP66-IP67. IK: IK10. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 9.6W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 19.6. Rischio fotobiologico: RG0. Flusso reale (lm): 184. Flusso nominale (lm): 1125. Lm/W reali: 19. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 9.6.",9405423990,"Alluminio, PMMA","Alluminio anodizzato, Opal",1004,61,68,,"1xLED 9.6 1125 lm",Sì,D,6,"Descatalogado IT",2021,"2,7","16,2","2,08","0,008","0,048",1030,80,80,,,,,,,,,,,,,,,,"9,6",1125,184,4000K,80,"Check Photometric file",,IP66-IP67,IK10,https://files.ledsc4.com/main-photo/55-E034-54-CM,https://files.ledsc4.com/ambience-photo/1/55-E034-54-CM,,,,,https://files.ledsc4.com/imc/55-E034-54-CM.html,https://files.ledsc4.com/el/55-E034-54-CM.html,https://files.ledsc4.com/fm/55-E034-54-CM.html,https://files.ledsc4.com/pl/55-E034-54-CM.html,https://files.ledsc4.com/ft3/it/55-E034-54-CM.html,https://files.ledsc4.com/3d/55-E034-54-CM.html,https://files.ledsc4.com/ies/55-E034-54-CM.html,https://files.ledsc4.com/ldt/55-E034-54-CM.html,,RETILAP-APLIQUE,DW-LED-III,,,,
05-E079-Z5-CM,V0,Sì,"Superficie a parete",8435526810123,"Afrodita Tech Big Single Emission",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-E079-Z5-CM.html,"SUPERFICIE A PARETE IP66 AFRODITA TECH BIG SINGLE EMISSION LED 22.3W 4000K 0-10V","LedsC4 Afrodita Tech Big Single Emission 05-E079-Z5-CM  Superficie a parete per uso esterno per illuminare verso il basso.  Include 2 uscite per cavi per una facile installazione in catena. Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 5.73 Larghezza o diametro del prodotto (mm): 215 Altezza del prodotto (mm): 215 Fuoriuscita del prodotto: 185  Classe 1. Prova filo incandescente: 850. IP: IP66. IK: IK07. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: INVENTRONICS. Potenza massima della sorgente luminosa: 19.3W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 16.7. Rischio fotobiologico: RG2. Flusso reale (lm): 721. Lm/W reali: 32. Intervallo di tensione / frequenza: 90-305/50-60Hz. Voltaggio: 36. Dispositivo incluso: Sì. Potenza totale: 22.3. Fattore di potenza: 0.95. Dispositivo regolabile incluso: 0-10V.",9405119090,"Alluminio, Vetro","Grigio urbano, Trasparente",,215,215,185,,Sì,E,2,"Descatalogado IT",2021,"6,33","12,66","5,73","0,018","0,036",230,230,255,,,,,,,,,,,,,,,,"22,3",,721,4000K,80,"Check Photometric file",0-10V,IP66,IK07,https://files.ledsc4.com/main-photo/05-E079-Z5-CM,,,,,,https://files.ledsc4.com/imc/05-E079-Z5-CM.html,https://files.ledsc4.com/el/05-E079-Z5-CM.html,https://files.ledsc4.com/fm/05-E079-Z5-CM.html,,https://files.ledsc4.com/ft3/it/05-E079-Z5-CM.html,https://files.ledsc4.com/3d/05-E079-Z5-CM.html,https://files.ledsc4.com/ies/05-E079-Z5-CM.html,https://files.ledsc4.com/ldt/05-E079-Z5-CM.html,,RETILAP-APLIQUE,FX-LED-I,,,,"Afrodita Tech Big Single Emission"
05-E080-Z5-CM,V0,No,"Superficie a parete",8435526810130,"Afrodita Tech Small Double Emission",Outdoor,,2,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-E080-Z5-CM.html,"SUPERFICIE A PARETE IP65 AFRODITA TECH SMALL DOUBLE EMISSION LED 13.9W 4000K ON-","LedsC4 Afrodita Tech Small Double Emission 05-E080-Z5-CM  Superficie a parete per uso esterno per illuminare verso l&#039;alto e verso il basso  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.19 Larghezza o diametro del prodotto (mm): 120 Altezza del prodotto (mm): 120 Fuoriuscita del prodotto: 90  Classe 1. Prova filo incandescente: 850. IP: IP65. IK: IK05. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: HEP. Potenza massima della sorgente luminosa: 12W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 9.3. Rischio fotobiologico: RG2. Flusso reale (lm): 360. Lm/W reali: 26. Intervallo di tensione / frequenza: 100-277/50-60Hz. Voltaggio: 12. Dispositivo incluso: Sì. Potenza totale: 13.9. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Vetro","Grigio urbano, Trasparente",,120,120,90,,Sì,E,8,"Descatalogado IT",2021,"1,4","11,2","1,19","0,004","0,032",140,140,140,,,,,,,,,,,,,,,,"13,9",,360,4000K,80,"Check Photometric file",ON-OFF,IP65,IK05,https://files.ledsc4.com/main-photo/05-E080-Z5-CM,,,,,,https://files.ledsc4.com/imc/05-E080-Z5-CM.html,https://files.ledsc4.com/el/05-E080-Z5-CM.html,https://files.ledsc4.com/fm/05-E080-Z5-CM.html,,,https://files.ledsc4.com/3d/05-E080-Z5-CM.html,https://files.ledsc4.com/ies/05-E080-Z5-CM.html,https://files.ledsc4.com/ldt/05-E080-Z5-CM.html,,,FX-LED-I,,,,"Afrodita Tech Small Double Emission"
35-A054-14-OS,V0,Sì,Proiettori,8435629762879,Tak,Architectural,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/35-A054-14-OS.html,"PROIETTORI TAK 32.8W 3000K CRI 92 15.7º ON-OFF BIANCO 2893LM","LedsC4 Tak 35-A054-14-OS  Proiettori con illuminazione orientabile.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.64 Lunghezza del prodotto (mm): 205 Larghezza o diametro del prodotto (mm): 90 Altezza del prodotto (mm): 160  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CITIZEN. Potenza massima della sorgente luminosa: 31.1W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 21.0. Rischio fotobiologico: RG2. Flusso reale (lm): 2893. Lm/W reali: 88. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 34. Dispositivo incluso: Sì. Potenza totale: 32.8. Fattore di potenza: 0.97. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Bianco, Trasparente",205,90,160,,,Sì,E,20,"Descatalogado IT",2021,"0,79","15,8","0,64","0,003","0,06",215,90,152,,,,,,,,,,,,,,,,"32,8",,2893,3000K,92,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/35-A054-14-OS,https://files.ledsc4.com/ambience-photo/1/35-A054-14-OS,,,,,https://files.ledsc4.com/imc/35-A054-14-OS.html,https://files.ledsc4.com/el/35-A054-14-OS.html,https://files.ledsc4.com/fm/35-A054-14-OS.html,,https://files.ledsc4.com/ft3/it/35-A054-14-OS.html,https://files.ledsc4.com/3d/35-A054-14-OS.html,https://files.ledsc4.com/ies/35-A054-14-OS.html,https://files.ledsc4.com/ldt/35-A054-14-OS.html,,RETILAP-TRACK,FX-LED-II,,,,
35-A057-60-OS,V0,Sì,Proiettori,8435629762947,Tak,Architectural,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/35-A057-60-OS.html,"PROIETTORI TAK 32.8W 4000K CRI 92 15.3º ON-OFF NERO 2937LM","LedsC4 Tak 35-A057-60-OS  Proiettori con illuminazione orientabile.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.64 Lunghezza del prodotto (mm): 205 Larghezza o diametro del prodotto (mm): 90 Altezza del prodotto (mm): 160  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CITIZEN. Potenza massima della sorgente luminosa: 31.1W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 19.3. Rischio fotobiologico: RG2. Flusso reale (lm): 2937. Lm/W reali: 90. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 34. Dispositivo incluso: Sì. Potenza totale: 32.8. Fattore di potenza: 0.97. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Nero, Trasparente",205,90,160,,,Sì,E,20,"Descatalogado IT",2021,"0,79","15,8","0,64","0,003","0,06",215,90,152,,,,,,,,,,,,,,,,"32,8",,2937,4000K,92,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/35-A057-60-OS,,,,https://files.ledsc4.com/detail-photo/1/35-A057-60-OS,https://files.ledsc4.com/detail-photo/2/35-A057-60-OS,https://files.ledsc4.com/imc/35-A057-60-OS.html,https://files.ledsc4.com/el/35-A057-60-OS.html,https://files.ledsc4.com/fm/35-A057-60-OS.html,,https://files.ledsc4.com/ft3/it/35-A057-60-OS.html,https://files.ledsc4.com/3d/35-A057-60-OS.html,https://files.ledsc4.com/ies/35-A057-60-OS.html,https://files.ledsc4.com/ldt/35-A057-60-OS.html,,RETILAP-TRACK,FX-LED-II,,,,
71-8411-45-05,V0,Sì,Binari,8445386086019,"Deltatrack 2000mm",Decorative,,2,,https://files.ledsc4.com/ft2/it/71-8411-45-05.html,"BINARI DELTATRACK 2000MM NERO OPACO ANODIZZATO","LedsC4 Deltatrack 2000mm 71-8411-45-05  Binari  Materiale della struttura: Alluminio. Finitura struttura: Nero opaco anodizzato. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 3.18 Lunghezza del prodotto (mm): 2000 Larghezza o diametro del prodotto (mm): 50 Altezza del prodotto (mm): 65 Fuoriuscita del prodotto: 6.",9405990090,Alluminio,"Nero opaco anodizzato",2000,50,65,65,,No,"NA EPREL",6,"Descatalogado IT",2021,"4,89","29,34","3,18","0,022","0,132",95,95,2040,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/71-8411-45-05,,,,,,https://files.ledsc4.com/imc/71-8411-45-05.html,,,,,https://files.ledsc4.com/3d/71-8411-45-05.html,,,,,NA-Accessory,,,,"Deltatrack Track"
71-8412-45-05,V0,Sì,Binari,8445386086026,"Deltatrack 3000mm",Decorative,,2,,https://files.ledsc4.com/ft2/it/71-8412-45-05.html,"BINARI DELTATRACK 3000MM NERO OPACO ANODIZZATO","LedsC4 Deltatrack 3000mm 71-8412-45-05  Binari  Materiale della struttura: Alluminio. Finitura struttura: Nero opaco anodizzato. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 4.59 Lunghezza del prodotto (mm): 3000 Larghezza o diametro del prodotto (mm): 50 Altezza del prodotto (mm): 65 Fuoriuscita del prodotto: 6.",9405990090,Alluminio,"Nero opaco anodizzato",3000,50,65,65,,No,"NA EPREL",4,"Descatalogado IT",2021,"7,13","28,52","4,59","0,035","0,14",95,95,3020,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/71-8412-45-05,,,,,,https://files.ledsc4.com/imc/71-8412-45-05.html,,,,,https://files.ledsc4.com/3d/71-8412-45-05.html,,,,,NA-Accessory,,,,"Deltatrack Track"
55-E076-M3-CM,V0,Sì,"Sistemi lineari d'illuminazione",8435575397439,"Taglio Opal Recessed 1004mm Ultra Thin",Outdoor,,3,24VDC,https://files.ledsc4.com/ft2/it/55-E076-M3-CM.html,"SISTEMI LINEARI D'ILLUMINAZIONE IP65-IP67 TAGLIO OPAL RECESSED 1004MM ULTRA THIN","LedsC4 Taglio Opal Recessed 1004mm Ultra Thin 55-E076-M3-CM  Sistemi lineari d&#039;illuminazione per uso esterno per illuminare verso l&#039;alto.  Include 2 uscite per cavi per una facile installazione in catena. Metri del cavo incluso: 0.15. Materiale della struttura: Alluminio. Finitura struttura: Anodizzato. Materiale del diffusore: PMMA. Finitura diffusore: Opal. Protezione contro i raggi ultravioletti. Garanzia: 3 Anni. Temperatura max: 50ºC.  Peso netto del prodotto (Kg): 0.08 Lunghezza del prodotto (mm): 1004 Larghezza o diametro del prodotto (mm): 40 Altezza del prodotto (mm): 50 Ø del foro per incasso (mm): 1004x40  Classe 3. IP: IP65-IP67. IK: IK10. LED. Nº di portalampada o Leds: 1. Marchio del LED: NICHIA. Potenza massima della sorgente luminosa: 7.8W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 21.4. Rischio fotobiologico: RG0. Flusso reale (lm): 542. Lm/W reali: 69. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 7.8.",9405423990,"Alluminio, PMMA","Anodizzato, Opal",1004,40,50,,,Sì,E,12,"Descatalogado IT",2021,"0,34","4,08","0,08","0,004","0,048",1030,50,60,,,,,,,,,,,,,,,,"7,8",,542,4000K,80,"Check Photometric file",,IP65-IP67,IK10,https://files.ledsc4.com/main-photo/55-E076-M3-CM,,,,https://files.ledsc4.com/detail-photo/1/55-E076-M3-CM,https://files.ledsc4.com/detail-photo/2/55-E076-M3-CM,https://files.ledsc4.com/imc/55-E076-M3-CM.html,https://files.ledsc4.com/el/55-E076-M3-CM.html,https://files.ledsc4.com/fm/55-E076-M3-CM.html,,https://files.ledsc4.com/ft3/it/55-E076-M3-CM.html,https://files.ledsc4.com/3d/55-E076-M3-CM.html,https://files.ledsc4.com/ies/55-E076-M3-CM.html,https://files.ledsc4.com/ldt/55-E076-M3-CM.html,,RETILAP-APLIQUE,DW-LED-III,,,,"Taglio Recessed Opal 1004mm Ultra Thin"
PX-0102-ANT,V0,Sì,FarettI,8435575399129,"Kala 500mm",Forlight,"95,65",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0102-ANT.html,"FARETTI IP44 KALA 500MM GU10 8W GRIGIO URBANO","LedsC4 Kala 500mm PX-0102-ANT  FarettI per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Vetro. Finitura diffusore: Semi trasparente. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 1.44 Lunghezza del prodotto (mm): 175 Larghezza o diametro del prodotto (mm): 110 Altezza del prodotto (mm): 500  Classe 1. IP: IP44. Potenza totale: 8.",9405299090,"Alluminio, Vetro","Grigio urbano, Semi trasparente",175,110,500,,,No,"NA EPREL",4,"Discontinuo IT",2021,"1,78","7,12","1,44","0,014","0,056",180,125,515,,,,,,,,,,,,,,,,8,,,,,,,IP44,,https://files.ledsc4.com/main-photo/PX-0102-ANT,,,,https://files.ledsc4.com/detail-photo/1/PX-0102-ANT,https://files.ledsc4.com/detail-photo/2/PX-0102-ANT,https://files.ledsc4.com/imc/PX-0102-ANT.html,,,,,,,,,RETILAP-BALIZA,FX-INC-I,,,,
DE-0005-SAT,V0,Sì,Piede,8435575399587,Dover,Forlight,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/DE-0005-SAT.html,"PIEDE DOVER E27 15W NICHEL SATINATO","LedsC4 Dover DE-0005-SAT  Piede per illuminare verso l&#039;alto e verso il basso.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Acciaio. Finitura struttura: Nichel satinato. Materiale del diffusore: Tessile. Finitura diffusore: Bianco. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0 Larghezza o diametro del prodotto (mm): 320 Altezza del prodotto (mm): 1500 Fuoriuscita del prodotto: 588  Classe 2. Prova filo incandescente: 850. IP: IP20. Potenza totale: 15.",9405299090,"Acciaio, Tessile","Nichel satinato, Bianco",,320,1500,588,,No,"NA EPREL",,"Descatalogado IT",2021,"6,54","10,95","5,27","0,085","0,634",300,160,510,450,450,300,,,,,,,,,,,,,15,,,,,,,IP20,,https://files.ledsc4.com/main-photo/DE-0005-SAT,https://files.ledsc4.com/ambience-photo/1/DE-0005-SAT,,,,,https://files.ledsc4.com/imc/DE-0005-SAT.html,,,,https://files.ledsc4.com/ft3/it/DE-0005-SAT.html,,,,,RETILAP-DECORATIVE,PR-INC-II,,,,
AG13-13W9M2OU14,V0,Sì,"Incassi a soffitto",8435629769243,"Play High Visual Confort Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG13-13W9M2OU14.html,"INCASSI A SOFFITTO PLAY HIGH VISUAL CONFORT ROUND FIXED LED 14.3W 3000K CRI 92 3","LedsC4 Play High Visual Confort Round Fixed AG13-13W9M2OU14  Incassi a soffitto per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.31 Larghezza o diametro del prodotto (mm): 90 Altezza del prodotto (mm): 127 Ø del foro per incasso (mm): 78 Spessore del soffitto ammesso: 0-25  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 11.9W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 19.0. Rischio fotobiologico: RG1. % de Flickering: &lt;5%. Flusso reale (lm): 1428. Lm/W reali: 100. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 36. Dispositivo incluso: Sì. Potenza totale: 14.3. Fattore di potenza: 0.88. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",,90,127,,,Sì,F,16,"Descatalogado IT",2021,"0,38","6,08","0,31","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"14,3",,1428,3000K,92,"MEDIUM + HONEYCOMB",ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG13-13W9M2OU14,,,,,,https://files.ledsc4.com/imc/AG13-13W9M2OU14.html,https://files.ledsc4.com/el/AG13-13W9M2OU14.html,https://files.ledsc4.com/fm/AG13-13W9M2OU14.html,,https://files.ledsc4.com/ft3/it/AG13-13W9M2OU14.html,https://files.ledsc4.com/3d/AG13-13W9M2OU14.html,https://files.ledsc4.com/ies/AG13-13W9M2OU14.html,https://files.ledsc4.com/ldt/AG13-13W9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play High Visual Comfort Round Fixed"
AG13-P7V9M2OU14,V0,Sì,"Incassi a soffitto",8435629770300,"Play High Visual Confort Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG13-P7V9M2OU14.html,"INCASSI A SOFFITTO PLAY HIGH VISUAL CONFORT ROUND FIXED LED 8.5W 2700K CRI 92 27","LedsC4 Play High Visual Confort Round Fixed AG13-P7V9M2OU14  Incassi a soffitto per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.25 Larghezza o diametro del prodotto (mm): 90 Altezza del prodotto (mm): 107 Ø del foro per incasso (mm): 78 Spessore del soffitto ammesso: 0-25  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 13.7. Rischio fotobiologico: RG1. Flusso reale (lm): 622. Lm/W reali: 73. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.5. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",,90,107,,,Sì,F,16,"Descatalogado IT",2021,"0,33","5,28","0,25","0,002","0,032",130,95,110,,,,,,,,,,,,,,,,"8,5",,622,2700K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG13-P7V9M2OU14,,,,,,https://files.ledsc4.com/imc/AG13-P7V9M2OU14.html,https://files.ledsc4.com/el/AG13-P7V9M2OU14.html,https://files.ledsc4.com/fm/AG13-P7V9M2OU14.html,,https://files.ledsc4.com/ft3/it/AG13-P7V9M2OU14.html,https://files.ledsc4.com/3d/AG13-P7V9M2OU14.html,https://files.ledsc4.com/ies/AG13-P7V9M2OU14.html,https://files.ledsc4.com/ldt/AG13-P7V9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play High Visual Comfort Round Fixed"
AG16-P7W9M2OU14,V0,Sì,"Incassi a soffitto",8435629777736,"Play IP65 Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG16-P7W9M2OU14.html,"INCASSI A SOFFITTO PLAY IP65 ROUND FIXED LED 8.5W 3000K CRI 92 27.8º ON-OFF BIA","LedsC4 Play IP65 Round Fixed AG16-P7W9M2OU14  Incassi a soffitto per uso interno per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.29 Larghezza o diametro del prodotto (mm): 93 Altezza del prodotto (mm): 81 Ø del foro per incasso (mm): 65 Spessore del soffitto ammesso: 0-20  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP65. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 16.7. Rischio fotobiologico: RG1. Flusso reale (lm): 692. Lm/W reali: 81. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.5. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Vetro","Bianco, Trasparente",,93,81,,,Sì,F,16,"Descatalogado IT",2021,"0,38","6,08","0,29","0,002","0,032",130,95,110,,,,,,,,,,,,,,,,"8,5",,692,3000K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG16-P7W9M2OU14,,,,,,https://files.ledsc4.com/imc/AG16-P7W9M2OU14.html,https://files.ledsc4.com/el/AG16-P7W9M2OU14.html,https://files.ledsc4.com/fm/AG16-P7W9M2OU14.html,,https://files.ledsc4.com/ft3/it/AG16-P7W9M2OU14.html,https://files.ledsc4.com/3d/AG16-P7W9M2OU14.html,https://files.ledsc4.com/ies/AG16-P7W9M2OU14.html,https://files.ledsc4.com/ldt/AG16-P7W9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Round Fixed"
